id, name, state, country, website, dbname, lastupdate, oldbtime
portland, Portland, OR, USA, http://zyao.servehttp.com:5144/ver1.3/portland/, portland.sqlite, 20091213, 20091216
sanfrancisco, San Francisco, CA, USA, http://zyao.servehttp.com:5144/ver1.3/sanfrancisco/, sanfrancisco.sqlite, 20091216, 20091216
oc, Orange County, CA, USA, http://zyao.servehttp.com:5144/ver1.3/oc/, oc.sqlite, 20091213, 20091216
sacramento, Sacramento, CA, USA, http://zyao.servehttp.com:5144/ver1.3/sacramento/, sacramento.sqlite, 20090614, 20090614
humboldt, Humboldt County, CA, USA, http://zyao.servehttp.com:5144/ver1.3/humboldt/, humboldt.sqlite, 20081210, 20081201
dallas, Dallas, TX, USA, http://zyao.servehttp.com:5144/ver1.3/dallas/, dallas.sqlite, 20100320, 20100320
austin, Austin, TX, USA, http://zyao.servehttp.com:5144/ver1.3/austin/, austin.sqlite, 20090608, 20090608
denver, Denver, CO, USA, http://zyao.servehttp.com:5144/ver1.3/denver/, denver.sqlite, 20090617, 20090617
davis, Davis, CA, USA, http://zyao.servehttp.com:5144/ver1.3/davis/, davis.sqlite, 20100320, 20100320
riovista, Rio Vista, CA, USA, http://zyao.servehttp.com:5144/ver1.3/riovista/, riovista.sqlite, 20081210, 20081201
york, York, ON, Canada, http://zyao.servehttp.com:5144/ver1.3/york/, york.sqlite, 20090425, 20090425
perth, Perth, WA, Australia, http://zyao.servehttp.com:5144/ver1.3/perth/, perth.sqlite, 20100320, 20100320
milwaukee, Milwaukee, WI, USA, http://zyao.servehttp.com:5144/ver1.3/milwaukee/, milwaukee.sqlite, 20090611, 20090611
toronto, Toronto, ON, Canada, http://zyao.servehttp.com:5144/ver1.3/toronto/, toronto.sqlite, 20100320, 20100320
honolulu, Honolulu, Hawaii, USA, http://zyao.servehttp.com:5144/ver1.3/honolulu/, honolulu.sqlite, 20100320, 20100320
hampton, Hampton Roads, VA, USA, http://zyao.servehttp.com:5144/ver1.3/hampton/, hampton.sqlite, 20081210, 20081201
metrolink, Southern California (Metrolink), CA, USA, http://zyao.servehttp.com:5144/ver1.3/metrolink/, metrolink.sqlite, 20081210, 20081201
vancouver, Vancouver, BC, Canada, http://zyao.servehttp.com:5144/ver1.3/vancouver/, vancouver.sqlite, 20091216, 20091216
monroe, Monroe County, PA, USA, http://zyao.servehttp.com:5144/ver1.3/monroe/, monroe.sqlite, 20100320, 20100320
